iter	RMSE	R2
0	2.252685092	0.01332553156
1	2.236602426	0.02736363393
2	2.222084844	0.03994924175
3	2.207514244	0.05249840543
4	2.192183029	0.06561352661
5	2.177033227	0.07848367022
6	2.161497839	0.09158869185
7	2.146949991	0.1037755715
8	2.133462013	0.1150010622
9	2.119830135	0.1262744345
10	2.104866691	0.1385657963
11	2.089678036	0.1509531088
12	2.076830142	0.1613613439
13	2.062670211	0.1727581189
14	2.047712631	0.1847122094
15	2.034283324	0.1953707828
16	2.021331215	0.2055841767
17	2.008804456	0.2154001037
18	1.994855646	0.22625854
19	1.984690932	0.2341235929
20	1.972177327	0.2437509475
21	1.960188559	0.2529174021
22	1.946914559	0.2630013269
23	1.934326333	0.2725009867
24	1.922799638	0.28114552
25	1.913900682	0.2877840185
26	1.900993995	0.2973575073
27	1.888889506	0.3062771047
28	1.878648929	0.3137787243
29	1.865942276	0.3230301469
30	1.857519869	0.3291277064
31	1.848607848	0.3355496952
32	1.837822745	0.3432801179
33	1.826652854	0.3512386632
34	1.815081427	0.3594321376
35	1.804603074	0.3668067071
36	1.794286252	0.3740258785
37	1.784169848	0.3810646162
38	1.773171068	0.3886721328
39	1.761941164	0.396390975
40	1.751846102	0.4032879301
41	1.741660313	0.4102067039
42	1.733125012	0.4159733026
43	1.721266062	0.4239383924
44	1.711352771	0.4305547103
45	1.701419571	0.4371459847
46	1.692449205	0.4430653907
47	1.683424121	0.4489893265
48	1.673697473	0.4553382948
49	1.664904641	0.4610460637
50	1.655889571	0.466866881
51	1.646534967	0.4728735163
52	1.63644621	0.4793134139
53	1.628898405	0.4841054777
54	1.618944891	0.4903910441
55	1.610215893	0.4958716299
56	1.600045472	0.5022198539
57	1.590177691	0.5083407286
58	1.581478762	0.5137051745
59	1.574624129	0.5179115524
60	1.565731699	0.5233412076
61	1.559150793	0.5273396633
62	1.549494325	0.5331762958
63	1.541233755	0.5381404328
64	1.532951237	0.5430911176
65	1.527011972	0.5466247541
66	1.519213613	0.5512436503
67	1.510458989	0.5564007566
68	1.501866309	0.5614334846
69	1.492856704	0.5666795696
70	1.484531893	0.5714988568
71	1.47559864	0.5766403994
72	1.468409074	0.5807558231
73	1.463430857	0.5835936567
74	1.455148358	0.5882937426
75	1.447152443	0.5928058928
76	1.438963804	0.5974010298
77	1.431350996	0.6016496441
78	1.42505389	0.6051469505
79	1.41796031	0.6090681366
80	1.410898857	0.6129521282
81	1.405073514	0.6161416298
82	1.397589752	0.6202197858
83	1.389993577	0.6243369269
84	1.383918686	0.627613381
85	1.376622687	0.6315294648
86	1.369675323	0.6352391803
87	1.362726467	0.6389309177
88	1.35645103	0.6422487503
89	1.349495081	0.6459084751
90	1.343322829	0.6491401194
91	1.338866651	0.6514640597
92	1.333609892	0.6541955828
93	1.326874165	0.6576799028
94	1.321006061	0.6607010303
95	1.314218316	0.6641789218
96	1.308156604	0.6672696655
97	1.302953556	0.6699111979
98	1.297497843	0.6726696991
99	1.291613177	0.6756321112
100	1.285801499	0.6785445631
101	1.280388278	0.6812455185
102	1.275539014	0.6836554086
103	1.269344941	0.6867203152
104	1.264183722	0.6892627568
105	1.259300208	0.6916588624
106	1.254106522	0.694196978
107	1.250465996	0.6959698225
108	1.245158625	0.6985451452
109	1.241316653	0.70040257
110	1.236344271	0.7027979766
111	1.230659811	0.7055246429
112	1.224635137	0.7084007836
113	1.219009813	0.7110735354
114	1.213414683	0.7137197338
115	1.208516797	0.7160261807
116	1.203739172	0.7182670079
117	1.19837236	0.7207735933
118	1.193895385	0.7228560089
119	1.189663135	0.7248174261
120	1.185543244	0.726720081
121	1.180242184	0.7291585151
122	1.175705058	0.7312368677
123	1.17075425	0.7334955861
124	1.167534695	0.7349593364
125	1.16466493	0.7362606589
126	1.160082371	0.7383320245
127	1.155405326	0.7404376778
128	1.150545903	0.7426164297
129	1.145186398	0.7450087473
130	1.141082661	0.746832978
131	1.136639457	0.7488007282
132	1.131729877	0.7509660926
133	1.127849357	0.7526709594
134	1.123858816	0.7544180554
135	1.120088631	0.7560629886
136	1.115539427	0.7580404496
137	1.111383808	0.7598397924
138	1.107319528	0.7615930902
139	1.103349197	0.7632996572
140	1.099172369	0.7650883662
141	1.096083449	0.7664068194
142	1.092831538	0.7677908335
143	1.088862334	0.7694745545
144	1.084755895	0.7712100422
145	1.082310639	0.7722403559
146	1.078845207	0.7736965404
147	1.075458007	0.7751153385
148	1.071957251	0.7765770136
149	1.068615005	0.7779680585
150	1.064894797	0.7795113032
151	1.061083558	0.781086729
152	1.057861746	0.7824141015
153	1.054576669	0.7837633829
154	1.051791115	0.7849042069
155	1.049302807	0.7859207425
156	1.04644493	0.7870852853
157	1.043846886	0.7881411939
158	1.040924659	0.7893257221
159	1.037649912	0.7906491989
160	1.033647422	0.7922611268
161	1.031003178	0.7933226292
162	1.028067013	0.7944981342
163	1.025351675	0.7955822466
164	1.022414468	0.7967517132
165	1.019042895	0.7980899898
166	1.016099209	0.7992548104
167	1.013821838	0.8001536576
168	1.010048058	0.8016386769
169	1.006938188	0.8028582787
170	1.004479471	0.8038198549
171	1.002748134	0.8044955506
172	0.9991451558	0.8058979624
173	0.9957042857	0.807232563
174	0.9930490177	0.808259307
175	0.990305936	0.8093171279
